"ID","name","category","developer","rating"
"b85","Shanghai Mahjong","Entertainment","MobileAge","4.23256"
"b86","Wordox The Word Snatcher","Entertainment","IsCool Entertainment","3321 Ratings"
"b87","Aworded Crack (Apalabrados)","Board","Etermax","4.47619"
"b88","Mahjong Shanghai: Free Solitaire like Board Game","Board","Gazzag Servicos de Internet Ltda","4.4"
"b89","The Heist","Entertainment","tap tap tap","4.06364"
"b90","2048 Number Puzzle game + Best 2048 app with unlimited undo feature, 5x5 mode, time survival mode plus #1 multiplayer","Board","Estoty","4.25509"
"b91","Pictopia: Disney Edition","Board","Wonder Forge, Inc","3.66071"
"b92","The Checkers - Classic Board Games","OutOfTheBit Ltd","OutOfTheBit Ltd","4.03191"
"b93","Pentix: Warning! Very Addictive like 5 blocks Tetris Free","Board","LokiTap LLC","3.90438"
"b94","Backgammon Free - Challenging Board &amp; Dice Game","Entertainment","Trivial Technology","4.40123"
"b95","Cribbage Classic","Family","Games By Post LLC","4.60547"
"b96","Chess ++","Games","Fat Bird Games","3.73333"
"b97","Mahjong Jewels Deluxe Brain Training Memory Game!","Education","Boy Howdy Technology LLC","4.80645"
"b98","Bubble Shooter Free 3.0","Board","Pedro Navarro","5341 Ratings"
"b99","Mahjong :)","Entertainment","TicBits Ltd","4.3125"
"b100","Free Chess App","Strategy","Christophe Thron","4415 Ratings"
"b101","Fleet Battle: Battle Series - a Sea Battle game!","Board","smuttlewerk interactive","4.40591"
"b102","Warhammer 40,000: Space Wolf","Card","HeroCraft Ltd.","4.30769"
"b103","King's Cup Free","Lifestyle","Rush Moody","54 Ratings"
"b104","Bingo!!","Entertainment","DoraLogic","4.52988"
"b105","Jewel Adventures","Entertainment","Akkad","4.42856"
"b106","Farkle Live","Entertainment","Playkot, Ltd.","4.56859"
"b107","Soccer Physics","Sports","Otto-Ville Ojala","4.20627"
"b108","FreeCell.","Puzzle","Byterun","3.9125"
"b109","iBaloot - ","Card","Ibtikar Technologies.","3.51282"
"b110","Backgammon Deluxe Free","Board","EnsenaSoft","3.74054"
"b111","QuizCross","Board","MAG Interactive","4.0"
"b112","Doodle With Buddies : Fun Social Multi-player Drawing and Guessing Free Addicting Game to Play Family and Friends","Board","RoboNacho Systems, LLC","3.36095"
"b113","Hammer Fruit - Free Smash Kids Game for iPhone, iPad and iPod touch","Arcade","T-bone, LLC","3.77295"
"b114","Yatzy US - Play the Classic Board Games for Free","Board","UNIQO LP","4.19998"
"b115","Mahjong Epic","Games","Kristanix Games","4.67619"
"b116","Gin Rummy Free","Entertainment","PressOK Entertainment","3.52941"
"b117","100+ Drinking Games: College Dorm Frat Drink Party Beer Games","App Holdings","App Holdings","2.0"
"b118","Solitaire Spiderette","Card","Finger Arts","4.81381"
"b119","Digimon Heroes!","Card","BANDAI NAMCO Entertainment America Inc.","4.52308"
"b120","2048 - Doge Version","Board","Joao Pedro Melo","4.51149"
"b121","Chess App","Strategy","Life-Giving","3.58249"
"b122","Backgammon Live Free board games with friends","Board","Come2Play","4.5"
"b123","Bunny Pop!","Entertainment","BitMango","4.95833"
"b124","Heroes of Camelot","Card","Gaea Mobile Ltd","4.4"
"b125","Guardian Cross","Card","SQUARE ENIX INC","1968 Ratings"
"b126","Solitaire Arena","Card","RockYou, Inc.","4.61223"
"b127","MONOPOLY zAPPed edition","Board","Hasbro, Inc.","2.78873"
"b128","Chess","Strategy","DoraLogic","4.42856"
"b129","Tasty Tale - the crazy cooking puzzle game","Puzzle","Sublinet","4.62295"
"b130","MILLIONAIRE TYCOON : Free Realestate Trading Strategy Board Game","Entertainment","SavySoda","4.08695"
"b131","Magic Towers Solitaire (Tri-Peaks)","Family","Glowing Eye Games Ltd","4.55556"
"b132","Words Crush: Hidden Words!","Entertainment","BitMango","4.48696"
"b133","Blue Block Free (Unblock and Sliding Puzzle)","Puzzle","Martin Demers","3.78947"
"b134","Truth or Dare Dirty with Spin the Bottle (Adult)","Entertainment","Mangobird Inc.","4.66667"
"b135","Fruit Candy Dash FREE - The Kingdom of Geometry Crush Blast Soda Saga (Queen of Jelly Merged Games Free 10)","Social Networking","Hong Lu","4.45833"
"b136","Flow Free: Bridges","Entertainment","Big Duck Games LLC","4.66455"
"b137","Majong","Entertainment","DoraLogic","4.53333"
"b138","Defenders: Tower Defense Origins","Card","NIVAL, INC.","4.41176"
"b139","Find the Ball","Lifestyle","Rivendel Studio","4.19998"
"b140","Mahjong Treasure Quest","Puzzle","VIZOR APPS CORP.","4.52576"
"b141","Ultimate Fan Club - One Direction Edition","Entertainment","Vertebit LLC","4.5489"
"b142","Unblock Me","Entertainment","Kiragames Co., Ltd.","4.76667"
"b143","Mahjong Free!!","Puzzle","Pacific Sun","4.50842"
"b144","Lies Of Astaroth","Card","iFree Studio Limited","4.12047"
"b145","Spider Solitaire Classic","Strategy","Iversoft Solutions","4.02439"
"b146","Jigsaw Puzzle Bug - Amazing HD Jigsaw Puzzles for Adults and Fun Jigsaws for Kids","Puzzle","Digital Strawberry","4.60644"
"b147","Flow Free: Hexes","Entertainment","Big Duck Games LLC","4.70858"
"b148","BBTAN by 111%","Arcade","111%","4.73386"
"b149","Blocks FREE - addictive puzzle game","Board","Den Falske Zebra","4.75"
"b150","Scratchers - Free Instant Scratch Off Lucky Lottery Tickets","Casino","Social Concepts Inc.","3.9562"
"b151","Rival Stars College Football","Sports","PikPok","3.875"
"b152","Gin Rummy Deluxe - The Best Classic Card Game","Entertainment","Speakati Limited","4.67856"
"b153","Tap Black Tiles, Avoid White Tiles","Music","Yui Tung Wong","4.21725"
"b154","Bubble Bust! Free","Arcade","GOES International AB","3.85326"
"b155","Checkers","Entertainment","Itchigoo","4.16822"
"b156","Tic Tac Toe Glow FREE","Entertainment","mobivention GmbH","3.80328"
"b157","Bubble Shooter - Totally Addictive!","Board","Fapps World et Cie S.E.C.S.","3.7007"
"b158","100! Block Puzzle","Entertainment","SILVER LINING COMPANY LIMITED","4.67676"
"b159","Keno Keno FREE","Casino","Robert Suh","3.87121"
"b160","Lottery Scratchers","Casino","App Happy Games LLC","4.52304"
"b161","Blackjack Pro: 21 Vegas Casino","Casino","Avalinx LLC","3.8"
"b162","Vegas Pool Sharks HD Lite","Sports","RESETgame","2437 Ratings"
"b163","Classic Slots - Free Vegas Styled Original Slot Machines","Casino","Phonato Studios","4.5"
"b164","Grand Gin Rummy - Multiplayer Card Game for Free","Entertainment","GameDuell GmbH","3.56"
"b165","Golden Sand Slots","Casino","Monarc Gaming Labs","1024 Ratings"
"b166","Bubble Shooter Free 2.0","Entertainment","Pedro Navarro","8566 Ratings"
"b167","Chess Free","Strategy","Mastersoft Ltd","5.0"
"b168","Slots of Fortune","Casino","David Grant","1.25"
"b169","Casino Party Live","Games","Big Kick Games","2.25"
"b170","Praia Bingo + VideoBingo FREE","Casino","Pipa Studios","241 Ratings"
"b171","Vegas Nights Slots-Spin and Win Big 777 Jackpot","Casino","Mobee Co., Ltd.","4.64706"
"b172","Fish Paradise","Entertainment","Kylin3D","4.22222"
"b173","Majong games","Card","DoraLogic","4.41176"
"b174","Threes!","Card","Sirvo LLC","3.62866"
"b175","Microsoft Solitaire Collection","Board","Microsoft Corporation","4.43384"
"b176","Memory matches brain trainer matching preschool toddler childrens educational training and match learning games for kids boys and girls for free","Education","Irina Schens","3.84896"
"b177","Ultimate Word Search Free (Wordsearch)","Word","EnsenaSoft","4.44444"
"b178","Lux Touch - risk of world war game","Games","Sillysoft Games","4.17722"
"b179","Doodle God","Board","JoyBits Ltd.","none"
"b180","PopWords!","Word","Sarah Pierce","4.33929"
"b181","a Kiss when Boss is not Watching","Casino","Si-Yeon Kim","4.11611"
"b182","Video Poker Deluxe - FREE Casino Video Poker Games","Happen Labs","Happen Labs","4.54348"
"b183","Solitaire ","Entertainment","Kan Hong","4.73076"
"b184","Solebon Solitaire 50 Card Games","Solebon LLC","Solebon LLC","none"
"b185","Lucky Day - Play Free Games. Win Real Money!","Card","Lucky Day App LLC","3.37037"
"b186","Cat Kitten Kitty Pet Baby Animal JIgsaw Puzzle Games for Girls who love educational memory learning puzzles for kids and toddlers","Education","Irina Schens","4.53083"
"b187","Shuffle Cats","Entertainment","King","3.89189"
"b188","Doodle Hangman Free","Board","EnsenaSoft","4.5"
"b189","Mancala.","Strategy","Mahjong","4.18182"
"b190","WordBrain 2","Word","MAG Interactive","4.75676"
"b191","Cheat Master - word cheats for Words With Friends","Board","Groom Lake Development, LLC","4.35714"
"b192","Draw Line: Classic","Puzzle","BitMango","4.57143"
"b193","Blackjack","Card","MobilityWare","none"
"b194","Tournament Poker Coach Texas Holdem","Casino","Gamoz, Inc","958 Ratings"
"b195","RapidHit Casino - FREE Slots, Quick Win Slots","Card","Ford Wang","4.84443"
"b196","Coin Dozer: Pirates","Arcade","Game Circus LLC","4.67213"
"b197","Roulettist: Online 3D Roulette","Casino","KamaGames","5.0"
"b198","Cribbage - Free Family Crib &amp; Peg Game","Board","Trivial Technology","4.66518"
"b199","Guess The Person? HD FREE","Board","R.W BUCKINGHAM &amp; S FINOULST","4.0"
"b200","Word Chums - The Exclusive Crossword Puzzle Game","Board","PeopleFun, Inc.","4.87101"
"b201","Spades Free! Play the Classic Card Game for Free","Games","Shozila Games","4.21052"
"b202","Hero Academy","Entertainment","Robot Entertainment","4.19184"
"b203","Drop7","Board","Zynga Inc.","4.2495"
"b204","Descrambler - unofficial word game solver for SCRABBLE, Words with Friends and Wordfeud crossword games","Board","PBJ Studios","4.4966"
"b205","Pocket Slots","Casino","Banana &amp; Co.","4.76973"
"b206","Moonlight Mahjong Lite","Puzzle","Midnight Martian","4.21149"
"b207","Governor of Poker LITE","Entertainment","Youda Games Holding B.V.","4.29411"
"b208","Solitaire by Backflip","Casino","Backflip Studios","3.65436"
"b209","VegasTowers - Tower Building Sim","Casino","SuperFine Games Limited","4.44554"
"b210","Pharaoh's Party: Coin Pusher","Arcade","Mindstorm Studios","4.56337"
"b211","Best Casino Slots - Free Fun Vegas Slot Machines!","Casino","diwip ltd","4.53571"
"b212","Tangled","Entertainment","West Code Studios","3.92857"
"b213","Peg Jump","Board","Seventy Nine Lines","4.14069"
"b214","4 in a Row ONLINE","Entertainment","Clever Fox","4.02979"
"b215","Wooden Block Puzzle - Play free fun wood jigsaw fit in 10/10 matrix","Board","Pawitra Apsari","4.63446"
"b216","Jigsaw Puzzles Epic","Games","Kristanix Games","4.6048"
"b217","VegasStar Casino - FREE Slots, Best Casino","Dice","Ford Wang","4.85052"
"b218","CLUE Bingo: Valentines Day","Board","Storm8","4.49695"
"b219","Hearts Multiplayer HD","Casino","Blue Frog Gaming","4.21023"
"b220","Bingo Showdown","Casino","Spicerack Media","4.70446"
"b221","Lucky Win Casino - Free Slots","Casino","Ford Wang","4.625"
"b222","Memory Matches 2","Card","Lumate, LLC","3.53684"
"b223","SCRABBLE for iPad","Word","Electronic Arts","4.38462"
"b224","MONOPOLY for iPad","Simulation","Electronic Arts","3.46479"
"b225","Memory!","Educational","Irina Schens","3.95827"
"b226","TanZen Free - Relaxing tangram puzzles","Puzzle","Little White Bear Studios, LLC","4.64062"
"b227","RISK: Global Domination","Strategy","SMG Studio","3.73333"
"b228",":) Sudoku","Entertainment","Jason Linhart","4.85687"
"b229","Lucky Lotto Scratch Cards","Card","Slots Fairytale LLC","3.20833"
"b230","Bingo City Live 75 + FREE Slots, Video Poker","Entertainment","Fungrep Co.,Ltd","4.63636"
"b231","SpinToWin Slots: Win Real Money! Free Sweepstakes","Casino","Fuzzy Button Games Inc.","5.0"
"b232","Dragon Era - Slots RPG Card Battle","Role Playing","playmage","701 Ratings"
"b233","Solitaire Classic","Card","Iversoft Solutions","4.3243"
"b234","Pyramid Free","Puzzle","MobilityWare","2.36585"
"b235","Letterpress Word Game","Word","Solebon LLC","4.77228"
"b236","Wordfeud","Word","Bertheussen IT","4.89286"
"b237","100 Logic Games - Time Killers FREE Puzzle Pack !","Board","Andrea Sabbatini","4.5"
"b238","iChess (Free)","Board","myMobileApps, Inc.","3.625"
"b239","Doodle Devil F2P","Board","JoyBits Ltd.","4.43143"
"b240","Four in a Row - Pro","Entertainment","Fino Soft Inc.","4.16927"
"b241","Real Vegas Slots","Casino","King Peak Entertainment","4.71902"
"b242","Solitaire One","Casino","FMGOne","4.52439"
"b243","Panda Best Free Slots Game Vegas","Casino","InfiApps Ltd.","4.72581"
"b244","Bingo Holiday: Classic Free Bingo Games","AE Mobile","AE Mobile","4.0"
"b245","Best Casino Social Slots - Play Free Slot Machines! Fun Las Vegas Style Bonus Games!","Casino","diwip ltd","4.58181"
"b246","S&amp;H Casino - FREE Premium Slots and Card Games","Murka Entertainment Limited","Murka Entertainment Limited","4.0"
"b247","Skylanders Battlecast","Entertainment","Activision Publishing, Inc.","4.38719"
"b248","Magic Duels","Card","Wizards of the Coast","3.32"
"b249","Spades King Free","Card","Magmic Inc.","1.6"
"b250","Six Towers HD","Board","vadim bashurov","1258 Ratings"
"b251","Crossword : World's Biggest Free Crosswords Game","Word","AppyNation Ltd.","4.36517"
"b252","Solitaire by ARJ","Casino","ARJ Holdings LLC","4.78946"
"b253","Free Bingo 2","Entertainment","Christopher Walsh","4.01896"
"b254","Roulette Royale - FREE Casino ( Mywavia Studios )","Casino","Mywavia Studios Pvt. Ltd.","4.45454"
"b255","Slots Journey 2","Casino","Murka Entertainment Limited","2.89744"
"b256","Slots Games - Free Casino Slot Machines","Casino","Huuuge Games Sp. z o.o.","2.875"
"b257","Slot","Dice","Xi Chen","4.73791"
"b258","10 Pin Shuffle Bowling","Entertainment","Digital Smoke LLC","4.46067"
"b259","Sudoku :)","Entertainment","TicBits Ltd","4.34225"
"b260","Mahjong Journey","Puzzle","G5 Entertainment","4.50329"
"b261","Dots and Boxes - Classic Board Games","OutOfTheBit Ltd","OutOfTheBit Ltd","4.24705"
"b262","Backgammon Free","Entertainment","Optime Software LLC","3.61317"
"b263","Solitaire - Free Solitare Card Games","Haibiao Yuan","Haibiao Yuan","4.53333"
"b264","Mega Fame Casino - FREE Celebrity Slots &amp; Poker","Entertainment","Plaor, LLC","2.5"
"b265","OMG! Fortune Free Slots Play Vegas Casino Games!","Games","LuckyFish Games","786 Ratings"
"b266","Burning Bubbles Lab FREE","Board","TLogic.de","42955 Ratings"
"b267","Sudoku","Board","Brainium Studios LLC","4.71215"
"b268","Deluxe Slots &amp; Casino: Free Vegas Slot Machines","Casino","HK JIUWEI GROUP LIMITED","4.82222"
"b269","Yu-Gi-Oh! Duel Generation","Card","Konami Digital Entertainment","4.29155"
"b270","Apples to Apples","Card","Mattel, Inc.","2.65363"
"b271","Card Wars - Adventure Time Card Game","Strategy","Cartoon Network","none"
"b272","Dominos","Board","DoraLogic","4.625"
"b273","Your Move Board Games ~ play free online Chess, Checkers, Dice, Words &amp; Backgammon with family &amp; friends","Social Networking","Candywriter, LLC","4.18261"
"b274","Trainyard Express","Board","Matt Rix","4.73996"
"b275","Slots. Slots? Slots!","Casino","Rocket Speed, Inc.","4.91176"
"b276","Zynga Poker Classic Texas Holdem","Entertainment","Zynga Inc.","4.25641"
"b277","Slots Casino - Casino Slot Machine Game","Card","YUAN LI","4.0"
"b278","Roulette Multiplayer","Casino","App Street Software Private Limited","3.849"
"b279","Heads or Tails (Best Coin Flipping and Tossing Ever)","Dice","Richard de los Santos","3.77778"
"b280","Bingo PartyLand","Board","Kingsify LLC","4.90498"
"b281","Rival Stars Basketball","Card","PikPok","4.81818"
"b282","Sudoku'","Board","Mind The Frog, Inc.","4.43241"
"b283","Card Games","Finger Arts","Finger Arts","4.72603"
"b284","MASH Lite","Word","Magnate Interactive Ltd","52744 Ratings"
"b285","Jigty Jigsaw Puzzles","Board","Outfit7 Limited","4.31429"
