"G_ID","G_name","G_category","G_developer","G_rating","A_ID","A_name","A_category","A_developer","A_rating"
"a1465","TAP SPORTS BASEBALL 2015","Sports","Glu","4.3","b526","Tap Sports Baseball 2015","Action","Glu Games Inc","4.34101"
"a199","Hot Wheels: Race Off","Racing","Hutch Games","4.4","b528","Hot Wheels: Race Off","Action","Hutch Games Ltd","4.44018"
"a2726","Bingo Pop","Casino","Uken Games","4.2","b540","Bingo Pop","Games","Uken Games","4.15385"
"a1087","MARVEL Future Fight","Role Playing","Netmarble Games","4.6","b542","MARVEL Future Fight","Action","Netmarble Games Corp.","4.13019"
"a2730","MONOPOLY Bingo!","Casino","Storm8 Studios","4.1","b557","MONOPOLY Bingo!","Entertainment","Storm8 Studios","4.27409"
"a2531","Zombie Road Trip","Racing","Noodlecake Studios Inc","4.3","b562","Zombie Road Trip","Entertainment","Noodlecake Studios Inc","4.33333"
"a965","Bloons TD 5","Strategy","ninja kiwi","4.6","b566","Bloons TD 5","Action","Ninja Kiwi","4.5913"
"a2600","Zombie Highway 2","Action","Auxbrain Inc","4.3","b594","Zombie Highway 2","Action","Auxbrain, Inc.","4.52542"
"a2034","F18 Carrier Landing Lite","Simulation","RORTOS","4.2","b599","F18 Carrier Landing Lite","Simulation","RORTOS SRL","4.24389"
"a1403","Score! Hero","Sports","First Touch","4.6","b605","Score! Hero","Sports","First Touch Games Ltd.","4.68614"
"a1941","Mad Skills Motocross 2","Racing","Turborilla","4.1","b607","Mad Skills Motocross 2","Racing","Turborilla","4.32468"
"a773","King of Thieves","Strategy","ZeptoLab","4.5","b609","King of Thieves","Action","ZeptoLab UK Limited","4.49423"
"a2611","WWE Immortals","Action","Warner Bros. International Enterprises","4.3","b610","WWE Immortals","Card","Warner Bros.","4.46881"
"a59","War Dragons","Strategy","Pocket Gems","4.1","b612","War Dragons","Entertainment","Pocket Gems, Inc.","4.53845"
"a450","MMX Racing","Racing","Hutch Games","4.2","b614","MMX Racing","Action","Hutch Games Ltd","4.62988"
"a250","LINE: Disney Tsum Tsum","Puzzle","LINE Corporation","4.2","b615","LINE: Disney Tsum Tsum","Action","LINE Corporation","3.5625"
"a1937","Drive Ahead!","Racing","Dodreams Ltd.","4.4","b617","Drive Ahead!","Racing","Dodreams Fairytale Company Oy","16988 Ratings"
"a695","World of Tanks Blitz","Action","Wargaming Group","4.3","b623","World of Tanks Blitz","Strategy","WARGAMING Group Limited","3.79487"
"a1588","Cut the Rope: Experiments FREE","Puzzle","ZeptoLab","4.2","b624","Cut the Rope: Experiments Free","Action","ZeptoLab UK Limited","4.19998"
"a840","Shadow Fight 2","Action","NEKKI","4.6","b625","Shadow Fight 2","Games","Nekki Games","4.66952"
"a651","Dude Perfect 2","Action","Miniclip.com","4.5","b626","Dude Perfect 2","Entertainment","Miniclip.com","4.69972"
"a577","Real Steel World Robot Boxing","Action","Reliance Big Entertainment (UK) Private Limited","4.4","b627","Real Steel World Robot Boxing","Sports","Reliance Big Entertainment UK Private Ltd","4.45774"
"a1207","Archery King","Sports","Miniclip.com","4.5","b629","Archery King","Sports","Miniclip.com","4.30281"
"a2599","Zombie Highway","Action","Auxbrain Inc","4.3","b636","Zombie Highway","Action","Auxbrain, Inc.","4.42657"
"a109","Bloons TD Battles","Strategy","ninja kiwi","4.4","b637","Bloons TD Battles","Strategy","Ninja Kiwi","4.66406"
"a646","DEER HUNTER 2017","Action","Glu","4.3","b638","Deer Hunter 2017","Sports","Glu Games Inc","3.94737"
"a660","MORTAL KOMBAT X","Action","Warner Bros. International Enterprises","4.4","b640","MORTAL KOMBAT X","Action","Warner Bros.","4.27932"
"a1656","Fun Run 2 - Multiplayer Race","Arcade","Dirtybit","4.5","b641","Fun Run 2 - Multiplayer Race","Sports","dirtyBit","30579 Ratings"
"a964","Castle Clash: Rise of Beasts","Strategy","IGG.COM","4.6","b645","Castle Clash: Rise of Beasts","Action","IGG.COM","3.69272"
"a641","Injustice: Gods Among Us","Action","Warner Bros. International Enterprises","4.4","b647","Injustice: Gods Among Us","Entertainment","Warner Bros.","4.66018"
"a445","Dumb Ways to Die 2: The Games","Casual","Metro Trains","4.2","b649","Dumb Ways to Die 2: The Games","Metro Trains Melbourne Pty Ltd","Metro Trains Melbourne Pty Ltd","3.82927"
"a966","Boom Beach","Strategy","Supercell","4.5","b650","Boom Beach","Strategy","Supercell","4.24254"
"a1577","Angry Birds 2","Casual","Rovio Entertainment Ltd.","4.5","b651","Angry Birds 2","Puzzle","Rovio Entertainment Ltd","4.6052"
"a107","Clash Royale","Strategy","Supercell","4.5","b653","Clash Royale","Strategy","Supercell","4.29331"
"a279","Real Racing 3","Racing","ELECTRONIC ARTS","4.4","b654","Real Racing 3","Action","Electronic Arts","4.41775"
"a572","DEER HUNTER CLASSIC","Action","Glu","4.4","b655","Deer Hunter Classic","Sports","Glu Games Inc","4.48529"
"a161","Clash of Clans","Strategy","Supercell","4.6","b659","Clash of Clans","Action","Supercell","4.46013"
