"G_ID","G_name","G_category","G_developer","G_rating","A_ID","A_name","A_category","A_developer","A_rating"
"a2431","Disco Zoo","Casual","NimbleBit LLC","4.5","b1412","Disco Zoo","Simulation","NimbleBit LLC","4.62857"
"a1809","Jigty Jigsaw Puzzles","Puzzle","Outfit7","4.3","b1422","Jigty Jigsaw Puzzles","Board","Outfit7 Limited","4.31429"
"a2447","101-in-1 Games HD","Arcade","Nordcurrent","4.4","b1431","101-in-1 Games HD","Arcade","Nordcurrent","4.49831"
"a596","Peggle Blast","Card","ELECTRONIC ARTS","4.1","b1439","Peggle Blast","Puzzle","Electronic Arts","3.78796"
"a611","Pyramid Solitaire Saga","Card","King","4.4","b1440","Pyramid Solitaire Saga","Entertainment","King","27200 Ratings"
"a2764","Fairway Solitaire Blast","Card","Big Fish Games","4.6","b1443","Fairway Solitaire Blast","Inc","Big Fish Games, Inc","4.71699"
"a1370","The Silent Age","Adventure","House on Fire","4.3","b1457","The Silent Age","Puzzle","House on Fire","4.64614"
"a1382","CSI: Hidden Crimes","Puzzle","Ubisoft Entertainment","4.2","b1458","CSI: Hidden Crimes","Puzzle","Ubisoft","4.10447"
"a379","AlphaBetty Saga","Puzzle","King","4.2","b1475","AlphaBetty Saga","Puzzle","King","4.2027"
"a1400","Score! World Goals","Sports","First Touch","4.4","b1494","Score! World Goals","Sports","First Touch Games Ltd.","4.66106"
"a3224","Scribblenauts Remix","Puzzle","Warner Bros. International Enterprises","4.2","b1495","Scribblenauts Remix","Puzzle","Warner Bros.","4.21691"
"a2141","Diamond Digger Saga","Casual","King","4.3","b1499","Diamond Digger Saga","Arcade","King","4.60526"
"a251","Inside Out Thought Bubbles","Puzzle","Disney","4.4","b1501","Inside Out Thought Bubbles","Puzzle","Disney","21476 Ratings"
"a3710","Disney Emoji Blitz","Puzzle","Disney","4.3","b1504","Disney Emoji Blitz","Arcade","Disney","4.42225"
"a250","LINE: Disney Tsum Tsum","Puzzle","LINE Corporation","4.2","b1506","LINE: Disney Tsum Tsum","Action","LINE Corporation","3.5625"
"a239","7 Little Words","Word","Blue Ox Technologies Ltd.","4.7","b1515","7 Little Words","Word","Blue Ox Technologies Ltd.","60816 Ratings"
"a1588","Cut the Rope: Experiments FREE","Puzzle","ZeptoLab","4.2","b1520","Cut the Rope: Experiments Free","Action","ZeptoLab UK Limited","4.19998"
"a2416","Prize Claw","Arcade","Game Circus LLC","4.0","b1522","Prize Claw","Entertainment","Game Circus LLC","4.33459"
"a651","Dude Perfect 2","Action","Miniclip.com","4.5","b1523","Dude Perfect 2","Entertainment","Miniclip.com","4.69972"
"a1354","Bubble Witch Saga","Casual","King","4.1","b1525","Bubble Witch Saga","Arcade","King","4.0284"
"a1679","Angry Birds Rio","Arcade","Rovio Entertainment Ltd.","4.4","b1535","Angry Birds Rio","Puzzle","Rovio Entertainment Ltd","3.925"
"a363","Bubble Witch 2 Saga","Casual","King","4.3","b1541","Bubble Witch 2 Saga","Arcade","King","4.425"
"a1586","Dots: A Game About Connecting","Casual","Playdots, Inc.","4.1","b1542","Dots: A Game About Connecting","Arcade","Playdots, Inc.","4.36351"
"a2272","Magic Jigsaw Puzzles","Puzzle","ZiMAD","4.4","b1543","Magic Jigsaw Puzzles","Entertainment","ZiMAD","4.50169"
"a1904","Candy Crush Jelly Saga","Puzzle","King","4.3","b1544","Candy Crush Jelly Saga","Puzzle","King","4.46666"
"a257","Where's My Water? 2","Puzzle","Disney","4.2","b1545","Where's My Water? 2","Entertainment","Disney","4.01976"
"a313","Block! Hexa Puzzle","Puzzle","BitMango","4.5","b1554","Block! Hexa Puzzle","Board","BitMango","4.30809"
"a247","TETRIS Blitz","Puzzle","ELECTRONIC ARTS","4.4","b1556","Tetris Blitz","Puzzle","Electronic Arts","4.08026"
"a1617","Toy Blast","Puzzle","Peak Games","4.6","b1557","Toy Blast","Games","Peak Games","4.71785"
"a402","Farm Heroes Saga","Casual","King","4.4","b1560","Farm Heroes Saga","Entertainment","King","4.66667"
"a2147","Pet Rescue Saga","Casual","King","4.3","b1561","Pet Rescue Saga","Arcade","King","4.79629"
"a221","Criminal Case","Adventure","Pretty Simple","4.5","b1565","Criminal Case","Adventure","Pretty Simple","4.50623"
"a1823","Two Dots","Puzzle","Playdots, Inc.","4.4","b1567","Two Dots","Puzzle","Playdots, Inc.","4.21982"
"a1577","Angry Birds 2","Casual","Rovio Entertainment Ltd.","4.5","b1568","Angry Birds 2","Puzzle","Rovio Entertainment Ltd","4.6052"
"a1862","Unblock Me FREE","Puzzle","Kiragames Co., Ltd.","4.3","b1571","Unblock Me FREE","Puzzle","Kiragames Co., Ltd.","4.75386"
"a403","Candy Crush Soda Saga","Casual","King","4.3","b1572","Candy Crush Soda Saga","Arcade","King","4.35701"
"a306","Flow Free","Puzzle","Big Duck Games LLC","4.3","b1574","Flow Free","Entertainment","Big Duck Games LLC","4.58768"
"a510","Candy Crush Saga","Casual","King","4.4","b1575","Candy Crush Saga","Entertainment","King","4.70807"
"a91","Beach Buggy Blitz","Racing","Vector Unit","4.2","b1602","Beach Buggy Blitz","Racing","Vector Unit","4.31661"
"a1551","Drag Racing: Bike Edition","Racing","Creative Mobile","4.2","b1628","Drag Racing: Bike Edition","Sports","Creative Mobile","4.30171"
"a1560","Zombie Killer Squad","Action","Section Studios, Inc. and 3BD Games LLC","4.3","b1631","Zombie Killer Squad","Action","Section Studios, Inc.","4.20482"
"a334","Earn to Die","Racing","Not Doppler","4.5","b1640","Earn to Die","Racing","Not Doppler","4.61219"
"a384","Need for Speed Hot Pursuit","Racing","ELECTRONIC ARTS","3.3","b1654","Need for Speed Hot Pursuit","Racing","Electronic Arts","none"
"a394","Need for Speed Most Wanted","Racing","ELECTRONIC ARTS","3.9","b1664","Need for Speed Most Wanted","Racing","Electronic Arts","none"
"a392","Moto X Mayhem","Racing","Occamy Games","4.1","b1666","Moto X Mayhem","Games","Occamy Games","4.08397"
"a93","Nitro Nation Online","Racing","Creative Mobile","4.4","b1684","Nitro Nation Online","Action","Creative Mobile","7012 Ratings"
"a1601","Battle Run","Action","Game Hive Corporation","4.5","b1699","Battle Run","Racing","Game Hive Corp.","4.7081"
"a1332","BIG WIN Racing","Sports","Hothead Games","3.9","b1704","Big Win Racing","Sports","Hothead Games Inc.","4.07498"
"a1910","MAYDAY! Emergency Landing","Simulation","Reludo srl","4.0","b1707","MAYDAY! Emergency Landing","Simulation","Reludo","4.07462"
"a1413","Bike Rivals","Racing","Miniclip.com","4.2","b1712","Bike Rivals","Racing","Miniclip.com","4.29452"
"a1945","2XL MX Offroad","Racing","2XL Games, Inc.","4.0","b1713","2XL MX Offroad","Inc.","2XL Games, Inc.","3.25"
"a1305","Drive Ahead! Sports","Sports","Dodreams Ltd.","4.3","b1720","Drive Ahead! Sports","Sports","Dodreams Fairytale Company Oy","4.15151"
"a1377","Jet Car Stunts Lite","Racing","True Axis","4.3","b1721","Jet Car Stunts Lite","Entertainment","True Axis","4.15733"
"a1658","Running Fred","Arcade","Dedalord","4.3","b1739","Running Fred","Entertainment","Dedalord S.R.L.","4.33025"
"a199","Hot Wheels: Race Off","Racing","Hutch Games","4.4","b1742","Hot Wheels: Race Off","Action","Hutch Games Ltd","4.44006"
"a1997","The Little Crane That Could","Simulation","Game Studio Abraham Stolk","4.0","b1744","The Little Crane That Could","Education","Abraham Stolk","4.24472"
"a2531","Zombie Road Trip","Racing","Noodlecake Studios Inc","4.3","b1749","Zombie Road Trip","Entertainment","Noodlecake Studios Inc","4.33333"
"a2600","Zombie Highway 2","Action","Auxbrain Inc","4.3","b1756","Zombie Highway 2","Action","Auxbrain, Inc.","4.52542"
"a144","CarX Drift Racing","Racing","CarX Technologies","4.5","b1758","CarX Drift Racing","Racing","CarX Technologies","4.22581"
"a1414","Trial Xtreme 3","Racing","Deemedya INC","4.3","b1759","Trial Xtreme 3","Sports","Deemedya M.S. Ltd.","4.33544"
"a1941","Mad Skills Motocross 2","Racing","Turborilla","4.1","b1766","Mad Skills Motocross 2","Racing","Turborilla","4.32468"
"a450","MMX Racing","Racing","Hutch Games","4.2","b1770","MMX Racing","Action","Hutch Games Ltd","4.62988"
"a1937","Drive Ahead!","Racing","Dodreams Ltd.","4.4","b1773","Drive Ahead!","Racing","Dodreams Fairytale Company Oy","16988 Ratings"
"a1659","Robot Unicorn Attack 2","Arcade","[adult swim] games","4.3","b1779","Robot Unicorn Attack 2","Arcade","[adult swim]","4.28"
"a204","Traffic Rider","Racing","Soner Kara","4.7","b1780","Traffic Rider","Entertainment","Soner Kara","4.46086"
"a2599","Zombie Highway","Action","Auxbrain Inc","4.3","b1790","Zombie Highway","Action","Auxbrain, Inc.","4.42657"
"a1930","Racing Rivals","Racing","Glu","3.9","b1791","Racing Rivals","Racing","Glu Games Inc","3.39881"
"a1932","Traffic Racer","Racing","Soner Kara","4.4","b1792","Traffic Racer","Arcade","Soner Kara","4.26722"
"a273","Hill Climb Racing 2","Racing","Fingersoft","4.6","b1796","Hill Climb Racing 2","Entertainment","Fingersoft","4.68943"
"a1656","Fun Run 2 - Multiplayer Race","Arcade","Dirtybit","4.5","b1797","Fun Run 2 - Multiplayer Race","Sports","dirtyBit","30579 Ratings"
"a1576","Angry Birds Go!","Racing","Rovio Entertainment Ltd.","4.2","b1800","Angry Birds Go!","Arcade","Rovio Entertainment Ltd","3.55211"
"a348","Asphalt 8: Airborne","Racing","Gameloft","4.5","b1804","Asphalt 8: Airborne","Racing","Gameloft","4.59813"
"a279","Real Racing 3","Racing","ELECTRONIC ARTS","4.4","b1805","Real Racing 3","Action","Electronic Arts","4.41775"
"a1543","Hill Climb Racing","Racing","Fingersoft","4.4","b1807","Hill Climb Racing","Entertainment","Fingersoft","4.44631"
"a2671","Pocket Bingo Free","Card","Apostek","4.1","b1970","Pocket Bingo Free","Dice","Apostek Software","3.88462"
"a265","Word Crack Free","Word","Etermax","4.2","b2035","Word Crack Free","Dice","Etermax","4.44031"
"a1312","Quiz of Kings","Trivia","Elyas Nadali","4.2","b2099","Quiz of Kings","Education","Elyas Nadali","3.45"
"a480","PBS KIDS Games","Educational","PBS KIDS","4.1","b2160","PBS KIDS Games","PBS KIDS","PBS KIDS","3.83333"
"a3555","Monster Hair Salon","Educational","Libii","3.8","b2172","Monster Hair Salon","Family","Libii Tech Limited","3.98217"
"a1765","One touch Drawing","Puzzle","Ecapyc Inc.","4.2","b2205","One touch Drawing","Education","Ecapyc Inc.","13421 Ratings"
"a1523","Trivia Crack (Ad free)","Trivia","Etermax","4.6","b2251","Trivia Crack (Ad Free)","Entertainment","Etermax","none"
"a973","Monkey Preschool Lunchbox","Education","THUP Games","4.4","b2265","Monkey Preschool Lunchbox","Games","THUP Games","none"
"a2471","Ice Cream Jump","Casual","Retro Dreamer","4.2","b2289","Ice Cream Jump","Arcade","Retro Dreamer","4.38213"
"a2415","Glow Hockey","Arcade","Natenai Ariyatrakool","4.1","b2308","Glow Hockey","Entertainment","Natenai Ariyatrakool","3.46739"
"a1585","Charm King","Puzzle","PlayQ Inc","4.6","b2313","Charm King","Puzzle","PlayQ Inc","4.68293"
"a2275","Animal Jam - Play Wild!","Casual","WildWorks","4.6","b2321","Animal Jam - Play Wild!","Social Networking","Wildworks, Inc.","4.58333"
"a2251","Restaurant Story 2","Casual","Storm8 Studios","3.9","b2327","Restaurant Story 2","Family","Storm8 Studios","4.20132"
"a3323","The 7D Mine Train","Arcade","Disney Publishing Worldwide","4.2","b2330","The 7D Mine Train","Family","Disney","4.22201"
"a1204","Where's My Perry?","Puzzle","Disney","4.6","b2335","Where's My Perry?","Entertainment","Disney","3.46729"
"a1515","Trivia Crack Kingdoms","Trivia","Etermax","4.4","b2338","Trivia Crack Kingdoms","Entertainment","Etermax","3.60714"
"a252","Crazy Kitchen","Puzzle","Zynga","4.6","b2344","Crazy Kitchen","Puzzle","Zynga Inc.","4.91452"
"a517","Virtual Families Lite","Casual","Last Day of Work, LLC","3.8","b2361","Virtual Families Lite","Simulation","LDW Software, LLC","3.83205"
"a2355","Hoppy Frog","Casual","Turbo Chilli","4.2","b2362","Hoppy Frog","Family","Turbo Chilli Pty Ltd","4.59256"
"a1262","Dragons: Rise of Berk","Simulation","Ludia Inc.","4.2","b2363","Dragons: Rise of Berk","Entertainment","Ludia","3.94737"
"a2839","Shopkins World!","Arcade","Mighty Kingdom","4.2","b2373","Shopkins World!","Entertainment","Mighty Kingdom","4.12821"
"a2270","Where's My Mickey? Free","Puzzle","Disney","4.0","b2374","Where's My Mickey? Free","Puzzle","Disney","3.79347"
"a2258","World Chef","Casual","Social Point","4.4","b2375","World Chef","Family","Social Point","28577 Ratings"
"a2092","Paradise Bay","Casual","King","4.1","b2385","Paradise Bay","Family","King","3.77778"
"a3749","Mini Pets","Casual","Miniclip.com","4.2","b2387","Mini Pets","Entertainment","Miniclip.com","4.657"
"a2606","Ninja Fishing","Adventure","Gamenauts, Inc.","4.3","b2405","Ninja Fishing","Adventure","Gamenauts","4.49153"
"a1980","Disney Magic Kingdoms","Simulation","Gameloft","4.2","b2407","Disney Magic Kingdoms","Entertainment","Gameloft","4.2057"
"a2094","Nyan Cat: Lost In Space","Arcade","isTom Games","4.5","b2408","Nyan Cat: Lost In Space","Puzzle","Istom Games Kft.","4.66667"
"a1190","Draw Something","Word","OMGPOP","4.0","b2415","Draw Something","Word","OMGPOP","361119 Ratings"
"a1237","FarmVille 2: Country Escape","Casual","Zynga","4.2","b2434","FarmVille 2: Country Escape","Entertainment","Zynga Inc.","4.47376"
"a2191","My Talking Angela","Casual","Outfit7","4.4","b2452","My Talking Angela","Simulation","Outfit7 Limited","4.3"
"a2269","Frozen Free Fall","Puzzle","Disney","4.3","b2459","Frozen Free Fall","Family","Disney","3.8"
"a1505","Hangman Free","Word","Optime Software","3.8","b2461","Hangman Free","Entertainment","Optime Software LLC","4.1414"
"a3138","Where's My Water?","Puzzle","Disney","4.7","b2463","Where's My Water?","Entertainment","Disney","3.91534"
"a2638","Nemo's Reef","Strategy","Disney","4.0","b2468","Nemo's Reef","Entertainment","Disney","2.94706"
"a1005","Game of War - Fire Age","Strategy","Machine Zone, Inc.","3.9","b2471","Game of War - Fire Age","Social Networking","Machine Zone, Inc","4.0551"
"a523","KIM KARDASHIAN: HOLLYWOOD","Adventure","Glu","4.3","b2474","Kim Kardashian: Hollywood","Entertainment","Glu Games Inc","4.65055"
"a1263","High School Story","Simulation","Pixelberry","4.2","b2476","High School Story","Role Playing","Pixelberry Studios","4.41974"
"a1293","Fallout Shelter","Simulation","Bethesda Softworks LLC","4.5","b2478","Fallout Shelter","Simulation","Bethesda","4.7312"
"a172","FINAL FANTASY Record Keeper","Role Playing","DeNA Corp.","4.5","b2480","FINAL FANTASY Record Keeper","Role Playing","DeNA Corp.","4.5"
"a1910","MAYDAY! Emergency Landing","Simulation","Reludo srl","4.0","b2510","MAYDAY! Emergency Landing","Simulation","Reludo","4.07462"
"a2047","Goat Simulator","Simulation","Coffee Stain Studios","4.3","b2513","Goat Simulator","Action","Coffee Stain Studios AB","none"
"a2431","Disco Zoo","Casual","NimbleBit LLC","4.5","b2517","Disco Zoo","Simulation","NimbleBit LLC","4.62857"
"a2251","Restaurant Story 2","Casual","Storm8 Studios","3.9","b2523","Restaurant Story 2","Family","Storm8 Studios","4.20132"
"a517","Virtual Families Lite","Casual","Last Day of Work, LLC","3.8","b2544","Virtual Families Lite","Simulation","LDW Software, LLC","3.83205"
"a1260","Hollywood U: Rising Stars","Simulation","Pixelberry","4.2","b2546","Hollywood U: Rising Stars","Simulation","Pixelberry Studios","4.31496"
"a1262","Dragons: Rise of Berk","Simulation","Ludia Inc.","4.2","b2547","Dragons: Rise of Berk","Entertainment","Ludia","3.94737"
"a491","MARVEL Avengers Academy","Adventure","TinyCo","4.1","b2548","MARVEL Avengers Academy","Simulation","TinyCo, Inc.","4.22727"
"a2199","Kitchen Scramble: Cooking Game","Simulation","Rockyou Inc.","3.9","b2552","Kitchen Scramble: Cooking Game","Arcade","RockYou, Inc.","3.28571"
"a1997","The Little Crane That Could","Simulation","Game Studio Abraham Stolk","4.0","b2555","The Little Crane That Could","Education","Abraham Stolk","4.24472"
"a2258","World Chef","Casual","Social Point","4.4","b2557","World Chef","Family","Social Point","28577 Ratings"
"a2060","The Sims 3","Simulation","ELECTRONIC ARTS","2.9","b2558","The Sims 3","Entertainment","Electronic Arts","2.12473"
"a1712","The Trail","Simulation","Kongregate","4.4","b2568","The Trail","Adventure","Kongregate","4.0625"
"a2092","Paradise Bay","Casual","King","4.1","b2571","Paradise Bay","Family","King","3.77778"
"a3749","Mini Pets","Casual","Miniclip.com","4.2","b2574","Mini Pets","Entertainment","Miniclip.com","4.65587"
"a144","CarX Drift Racing","Racing","CarX Technologies","4.5","b2576","CarX Drift Racing","Racing","CarX Technologies","4.22581"
"a2034","F18 Carrier Landing Lite","Simulation","RORTOS","4.2","b2580","F18 Carrier Landing Lite","Simulation","RORTOS SRL","4.24389"
"a401","PewDiePie's Tuber Simulator","Casual","Outerminds Inc.","4.8","b2584","PewDiePie's Tuber Simulator","Board","Outerminds Inc.","4.83784"
"a1980","Disney Magic Kingdoms","Simulation","Gameloft","4.2","b2587","Disney Magic Kingdoms","Entertainment","Gameloft","4.2085"
"a1976","Design Home","Simulation","Crowdstar Inc","4.4","b2594","Design Home","Simulation","Crowdstar Inc","4.15339"
"a2411","Daddy Long Legs","Arcade","Set Snail","4.2","b2600","Daddy Long Legs","Arcade","Set Snail","4.37096"
"a1237","FarmVille 2: Country Escape","Casual","Zynga","4.2","b2618","FarmVille 2: Country Escape","Entertainment","Zynga Inc.","4.46821"
"a2414","Paper Toss Boss","Arcade","Backflip Studios, Inc.","4.2","b2626","Paper Toss Boss","Arcade","Backflip Studios","4.69332"
"a646","DEER HUNTER 2017","Action","Glu","4.3","b2627","Deer Hunter 2017","Sports","Glu Games Inc","3.94737"
"a2191","My Talking Angela","Casual","Outfit7","4.4","b2633","My Talking Angela","Simulation","Outfit7 Limited","4.3"
"a1261","My Singing Monsters","Simulation","Big Blue Bubble","4.5","b2636","My Singing Monsters","Simulation","Big Blue Bubble","4.72186"
"a451","Minecraft: Pocket Edition","Arcade","Mojang","4.5","b2642","Minecraft: Pocket Edition","Simulation","Mojang","4.40848"
"a516","My Talking Tom","Casual","Outfit7","4.5","b2643","My Talking Tom","Entertainment","Outfit7 Limited","4.26376"
"a2142","Paper Toss","Casual","Backflip Studios, Inc.","4.0","b2645","Paper Toss","Entertainment","Backflip Studios","4.18966"
"a572","DEER HUNTER CLASSIC","Action","Glu","4.4","b2646","Deer Hunter Classic","Sports","Glu Games Inc","4.48529"
"a1240","Hay Day","Casual","Supercell","4.4","b2647","Hay Day","Simulation","Supercell","4.4652"
"a1422","Dude Perfect","Sports","Dude Perfect","4.0","b2668","Dude Perfect","Family","Dude Perfect","4.61828"
"a1401","Head Soccer La Liga 2017","Sports","Liga de F\u00fatbol Profesional","4.4","b2674","Head Soccer La Liga 2017","Arcade","Liga de Ftbol Profesional","4.76879"
"a1378","Soccer Showdown 2015","Sports","Naquatic LLC","4.0","b2679","Soccer Showdown 2015","Entertainment","Naquatic LLC","4.45687"
"a803","Real Steel","Action","Reliance Big Entertainment (UK) Private Limited","4.1","b2683","Real Steel","Action","Reliance Big Entertainment UK Private Ltd","none"
"a1213","Head Basketball","Sports","D&D Dream","4.4","b2684","Head Basketball","Sports","D&amp;D Dream Corp.","4.66481"
"a1397","Stickman Soccer 2014","Sports","Djinnworks GmbH","4.2","b2686","Stickman Soccer 2014","Action","Djinnworks GmbH","4.30346"
"a1684","Backflip Madness","Arcade","Gamesoul Studio","4.3","b2687","Backflip Madness","Arcade","Gamesoul Studio","4.45115"
"a1426","Rival Stars Basketball","Sports","PIKPOK","4.5","b2690","Rival Stars Basketball","Card","PikPok","4.81818"
"a1427","Basketball Showdown 2015","Sports","Naquatic LLC","4.4","b2693","Basketball Showdown 2015","Sports","Naquatic LLC","4.6133"
"a1431","All-Star Basketball","Sports","Renown Entertainment","4.3","b2697","All-Star BASKETBALL","Sports","Renown Entertainment","4.39175"
"a1359","Boom Boom Football","Sports","Hothead Games","4.0","b2698","Boom Boom Football","Sports","Hothead Games Inc.","4.11111"
"a1244","King of the Course Golf","Sports","ELECTRONIC ARTS","4.0","b2700","King of the Course Golf","Sports","Electronic Arts","3.62256"
"a1357","Football Heroes PRO 2016","Sports","Run Games","4.3","b2727","Football Heroes PRO 2016","Games","Run Games","3.95541"
"a1445","True Skate","Sports","True Axis","4.4","b2734","True Skate","Entertainment","True Axis","3.88596"
"a1391","Stickman Soccer","Sports","Djinnworks GmbH","4.1","b2748","Stickman Soccer","Arcade","Djinnworks GmbH","4.28047"
"a1361","Big Win Football 2016","Sports","Hothead Games","4.0","b2751","Big Win Football 2016","Simulation","Hothead Games Inc.","4.22483"
"a1430","Stickman Basketball","Sports","Djinnworks GmbH","4.1","b2757","Stickman Basketball","Sports","Djinnworks GmbH","4.11792"
"a1448","WWE SuperCard","Sports","2K, Inc.","4.3","b2761","WWE SuperCard","Entertainment","2K","4.06686"
"a1332","BIG WIN Racing","Sports","Hothead Games","3.9","b2763","Big Win Racing","Sports","Hothead Games Inc.","4.07498"
"a1250","TAP SPORTS BASEBALL","Sports","Glu","3.9","b2765","Tap Sports Baseball","Sports","Glu Games Inc","4.34544"
"a1945","2XL MX Offroad","Racing","2XL Games, Inc.","4.0","b2770","2XL MX Offroad","Inc.","2XL Games, Inc.","3.25"
"a1305","Drive Ahead! Sports","Sports","Dodreams Ltd.","4.3","b2773","Drive Ahead! Sports","Sports","Dodreams Fairytale Company Oy","4.15151"
"a1297","Rapala Fishing - Daily Catch","Sports","Concrete Software, Inc.","4.2","b2793","Rapala Fishing - Daily Catch","Sports","Concrete Software, Inc.","4.19231"
"a1288","Ace Fishing: Wild Catch","Sports","Com2uS USA","4.3","b2802","Ace Fishing: Wild Catch","Action","Com2uS USA, Inc.","4.65"
"a1243","Super Stickman Golf 2","Sports","Noodlecake Studios Inc","4.2","b2803","Super Stickman Golf 2","Arcade","Noodlecake Studios Inc","4.6353"
"a1334","Real Boxing 2 ROCKY","Sports","Vivid Games S.A.","4.3","b2804","Real Boxing 2 ROCKY","Action","Vivid Games S.A.","3.66667"
"a1249","Basketball Showdown","Sports","Naquatic LLC","4.1","b2805","Basketball Showdown","Sports","Naquatic LLC","4.46624"
"a2355","Hoppy Frog","Casual","Turbo Chilli","4.2","b2808","Hoppy Frog","Family","Turbo Chilli Pty Ltd","4.59256"
"a1465","TAP SPORTS BASEBALL 2015","Sports","Glu","4.3","b2809","Tap Sports Baseball 2015","Action","Glu Games Inc","4.34101"
"a1414","Trial Xtreme 3","Racing","Deemedya INC","4.3","b2827","Trial Xtreme 3","Sports","Deemedya M.S. Ltd.","4.33544"
"a1403","Score! Hero","Sports","First Touch","4.6","b2830","Score! Hero","Sports","First Touch Games Ltd.","4.6875"
"a1400","Score! World Goals","Sports","First Touch","4.4","b2836","Score! World Goals","Sports","First Touch Games Ltd.","4.6608"
"a1290","WGT Golf Game by Topgolf","Sports","WGT","4.2","b2838","WGT Golf Game by Topgolf","Simulation","WGT","4.77907"
"a1309","Real Boxing","Sports","Vivid Games S.A.","4.2","b2840","Real Boxing","Action","Vivid Games S.A.","4.42387"
"a62","VEGA Conflict","Strategy","KIXEYE","4.2","b2855","VEGA Conflict","Action","KIXEYE","4.34375"
"a1566","OMG: TD!","Action","Yodo1 Games","4.0","b2856","OMG: TD!","Games","Yodo1 Games","4.36313"
"a1475","FIFA Mobile Soccer","Sports","ELECTRONIC ARTS","4.2","b2862","FIFA Mobile Soccer","Sports","Electronic Arts","4.12477"
"a1234","Bowling King","Sports","Miniclip.com","4.6","b2863","Bowling King","Arcade","Miniclip.com","4.38095"
"a792","Battle Islands","Strategy","505 Games Srl","4.0","b2865","Battle Islands","Strategy","505 Games (US), Inc.","4.0"
"a577","Real Steel World Robot Boxing","Action","Reliance Big Entertainment (UK) Private Limited","4.4","b2868","Real Steel World Robot Boxing","Sports","Reliance Big Entertainment UK Private Ltd","4.45774"
"a1207","Archery King","Sports","Miniclip.com","4.5","b2870","Archery King","Sports","Miniclip.com","4.30319"
"a1398","Soccer Stars","Sports","Miniclip.com","4.4","b2872","Soccer Stars","Sports","Miniclip.com","4.32667"
"a1396","Head Soccer","Sports","D&D Dream","4.3","b2878","Head Soccer","Sports","D&amp;D Dream Corp.","4.77992"
"a1471","Basketball Stars","Sports","Miniclip.com","4.4","b2881","Basketball Stars","Sports","Miniclip.com","4.47208"
"a738","Battle Beach","Arcade","Ember Entertainment","4.4","b2886","Battle Beach","Action","Ember Entertainment","3.80687"
"a572","DEER HUNTER CLASSIC","Action","Glu","4.4","b2889","Deer Hunter Challenge","Sports","Glu Games Inc","4.32157"
"a3711","NBA LIVE Mobile Basketball","Sports","ELECTRONIC ARTS","4.4","b2895","NBA LIVE Mobile Basketball","Simulation","Electronic Arts","4.20751"
"a445","Dumb Ways to Die 2: The Games","Casual","Metro Trains","4.2","b2898","Dumb Ways to Die 2: The Games","Metro Trains Melbourne Pty Ltd","Metro Trains Melbourne Pty Ltd","3.82927"
"a162","Narcos: Cartel Wars","Strategy","FTX Games LTD","4.6","b2903","Narcos: Cartel Wars","Entertainment","FTX Games Ltd","3302 Ratings"
"a1205","8 Ball Pool","Sports","Miniclip.com","4.5","b2905","8 Ball Pool","Entertainment","Miniclip.com","4.35832"
"a2602","SAMURAI vs ZOMBIES DEFENSE 2","Action","Glu","4.5","b2914","Samurai vs Zombies Defense 2","Action","Glu Games Inc","4.3552"
"a1973","Bakery Blitz: Cooking Game","Simulation","Rockyou Inc.","4.1","b2918","Bakery Blitz: Cooking Game","Strategy","RockYou, Inc.","3.51087"
"a967","Alien Creeps TD","Strategy","Outplay Entertainment Ltd","4.4","b2948","Alien Creeps TD","Strategy","Outplay Entertainment Ltd","15562 Ratings"
"a164","War Commander: Rogue Assault","Strategy","KIXEYE","4.3","b2951","War Commander: Rogue Assault","Strategy","KIXEYE","4.6238"
"a2293","Bloons TD 4","Casual","ninja kiwi","3.8","b2953","Bloons TD 4","Strategy","Ninja Kiwi","4.56365"
"a745","RISK: Global Domination","Strategy","SMG Studio","4.1","b2959","RISK: Global Domination","Strategy","SMG Studio","3.73333"
"a48","Total Domination - Reborn","Strategy","Plarium Global Ltd","3.9","b2967","Total Domination - Reborn","Entertainment","Plarium Global Ltd","4.05881"
"a712","The Battle Cats","Casual","PONOS","4.4","b2975","The Battle Cats","Strategy","PONOS","4.6699"
"a145","Vikings: War of Clans","Strategy","Plarium LLC","4.4","b2979","Vikings: War of Clans","Action","Plarium LLC","4.18681"
"a255","Maleficent Free Fall","Puzzle","Disney","4.3","b2981","Maleficent Free Fall","Strategy","Disney","4.72989"
"a962","Invasion: Modern Empire","Strategy","tap4fun","4.2","b2995","Invasion: Modern Empire","Entertainment","Tap4Fun","4.39286"
"a857","Five Nights at Freddy's","Action","Scott Cawthon","4.5","b3005","Five Nights at Freddy's","Strategy","Scott Cawthon","4.27099"
"a1971","Egg, Inc.","Simulation","Auxbrain Inc","4.7","b3014","Egg, Inc.","Strategy","Auxbrain, Inc.","4.83647"
"a49","Forge of Empires","Strategy","InnoGames GmbH","4.4","b3016","Forge of Empires","Simulation","InnoGames","13507 Ratings"
"a965","Bloons TD 5","Strategy","ninja kiwi","4.6","b3017","Bloons TD 5","Action","Ninja Kiwi","4.5913"
"a2257","Diner Dash","Casual","Glu","4.1","b3019","Diner Dash","Entertainment","Glu Games Inc","3.84479"
"a773","King of Thieves","Strategy","ZeptoLab","4.5","b3034","King of Thieves","Action","ZeptoLab UK Limited","4.51613"
